,year,round,pick,player,position,school
461,1989,2,39,Ed Horton,PF/C,IowaÂ 
462,1989,2,40,Dino RaÄ‘a,PF,KK SplitÂ 
463,1989,2,41,Doug Roth,C,TennesseeÂ 
464,1989,2,42,Michael Cutright,SG,McNeese StateÂ 
465,1989,2,43,Chucky Brown,PF,North Carolina StateÂ 
466,1989,2,44,Reggie Cross,PF,HawaiiÂ 
467,1989,2,45,Scott Haffner,G,EvansvilleÂ 
468,1989,2,46,Ricky Blanton,F,LSUÂ 
469,1989,2,47,Reggie Turner,SF,UABÂ 
470,1989,2,48,Junie Lewis,PG,South AlabamaÂ 
471,1989,2,49,Haywoode Workman,G,Oral RobertsÂ 
472,1989,2,50,Brian Quinnett,F,Washington StateÂ 
473,1989,2,51,Mike Morrison,G,Loyola
474,1989,2,52,Greg Grant,G,Trenton StateÂ 
475,1989,2,53,Jeff Hodge,SG,South AlabamaÂ 
476,1989,2,54,Toney Mack,SG,GeorgiaÂ 
477,1990,1,1,Derrick Coleman,PF/C,Syracuse
478,1990,1,2,Gary Payton,PG,Oregon State
479,1990,1,3,Chris Jackson,PG,LSU
480,1990,1,4,Dennis Scott,SG/SF,Georgia Tech
481,1990,1,5,Kendall Gill,SG,Illinois
482,1990,1,6,Felton Spencer,C,Louisville
483,1990,1,7,Lionel Simmons,SF,La Salle
484,1990,1,8,Bo Kimble,SG,Loyola Marymount
485,1990,1,9,Willie Burton,SG,Minnesota
486,1990,1,10,Rumeal Robinson,PG,Michigan
487,1990,1,11,Tyrone Hill,PF,Xavier
488,1990,1,12,Alec Kessler,PF,Georgia
489,1990,1,13,Loy Vaught,PF,Michigan
490,1990,1,14,Travis Mays,PG,Texas
491,1990,1,15,Dave Jamerson,SG,Ohio
492,1990,1,16,Terry Mills,SF,Michigan
493,1990,1,17,Jerrod Mustaf,F/C,Maryland
494,1990,1,18,Duane Causwell,C,Temple
495,1990,1,19,Dee Brown,SG,Jacksonville
496,1990,1,20,Gerald Glass,SF/SG,Ole Miss
497,1990,1,21,Jayson Williams,PF/C,St. John's
498,1990,1,22,Tate George,SG,Connecticut
