,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
611,610,Jon Axel Gudmundsson\jonaxel-gudmundsson-1,SO,2017-18,G,Davidson,A-10,33,1182,35.8,4.4,9.5,2.5,4.8,1.9,4.7,2.6,3.3,0.4,5.6,6,5.1,1.3,0,2.2,1.7,13.2
1305,1304,Rodney Bullock\rodney-bullock-1,SR,2017-18,F,Providence,Big East,34,1120,32.9,4.8,11.1,3.4,6.9,1.4,4.1,3.2,4.4,1.5,4.4,5.8,1.1,0.8,1,1.9,2.5,14.3
1681,1680,Holland Woods\holland-woods-1,FR,2017-18,G,Portland State,Big Sky,34,1098,32.3,3.1,7.9,2.3,5.1,0.8,2.7,3.4,4.4,0.5,2.2,2.7,5.6,1.5,0.1,2.6,2.1,10.5
1307,1306,Khadeen Carrington\khadeen-carrington-1,SR,2017-18,G,Seton Hall,Big East,34,1120,32.9,5,12,3.4,7.7,1.6,4.2,4.1,4.9,0.6,2.5,3.1,4.4,1.1,0.3,2.3,2.1,15.6
230,229,Shai Gilgeous-Alexander\shai-gilgeous-alexander-1,FR,2017-18,G,Kentucky,SEC,37,1248,33.7,4.9,10.2,4.3,8.6,0.6,1.5,3.9,4.7,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4
1308,1307,Kahlil Dukes\kahlil-dukes-1,SR,2017-18,G,Niagara,MAAC,33,1120,33.9,6.8,14.6,3.9,7.7,2.9,6.9,4.5,5,0.2,2,2.2,3.3,0.8,0,2.5,1.7,21
228,227,Kelan Martin\kelan-martin-1,SR,2017-18,F,Butler,Big East,35,1249,35.7,7.4,16.6,4.7,9.1,2.7,7.5,3.7,4.4,0.9,5.3,6.3,2,0.7,0.5,2.4,1.9,21.2
2200,2199,Markus Howard\markus-howard-1,SO,2017-18,G,Marquette,Big East,34,1071,31.5,7,15.1,3.8,7.1,3.3,8.1,3.1,3.3,0.4,2.8,3.2,2.8,1,0.1,2.5,2.5,20.4
1309,1308,Parker Jackson-Cartwright\parker-jackson-cartwright-1,SR,2017-18,G,Arizona,Pac-12,35,1120,32,2.6,5.9,1.1,2.5,1.4,3.4,1.3,1.7,0.2,2.1,2.4,4.5,1.4,0.1,1.9,2.2,7.8
1996,1995,David Nichols\david-nichols-1,JR,2017-18,G,Albany (NY),AEC,32,1082,33.8,5.2,13.2,3.4,8.3,1.8,4.9,2.4,3.2,0.5,3.8,4.3,3.5,1.2,0.2,2.5,2.6,14.6
448,447,Joe Chealey\joe-chealey-1,SR,2017-18,G,College of Charleston,CAA,34,1202,35.4,5,12.6,3.1,7.4,1.8,5.2,6.2,7.2,0.6,4,4.6,3.6,0.9,0.1,1.7,2.3,18
1216,1215,Deng Adel\deng-adel-1,JR,2017-18,F,Louisville,ACC,34,1126,33.1,5.2,11.7,3.8,7.5,1.5,4.2,3,3.9,0.6,4.5,5.2,2.8,0.6,0.3,2.3,1.4,15
528,527,Yoeli Childs\yoeli-childs-1,SO,2017-18,F,Brigham Young,WCC,35,1191,34,7,13,6.6,11.6,0.4,1.4,3.3,5.2,2,6.6,8.6,2.2,0.9,1.8,2.2,2.3,17.8
329,328,Paul Jackson\paul-johnson-3,JR,2017-18,G,Eastern Michigan,MAC,35,1225,35,5.5,13.4,4.6,10.3,0.9,3.1,3,4.1,0.3,1.8,2.1,4.6,1.4,0.1,2.8,2.4,14.9
2106,2105,Jadon Cohee\jadon-cohee-1,JR,2017-18,G,Southern Utah,Big Sky,32,1076,33.6,3.9,9.9,2.5,6.1,1.4,3.8,3.3,4.1,0.1,2.4,2.5,3.1,0.5,0.1,1.9,2,12.6
471,470,Jock Landale\jock-landale-1,JR,2017-18,C,Saint Mary's (CA),WCC,36,1200,33.3,8.4,13.1,8.3,12.8,0.1,0.3,4.3,5.8,2.9,7.2,10.2,2,0.4,1,2.3,3,21.1
1765,1764,Carsen Edwards\carsen-edwards-1,SO,2017-18,G,Purdue,Big Ten,37,1092,29.5,6.2,13.5,3.6,7.1,2.6,6.5,3.5,4.3,0.4,3.5,3.8,2.8,1.1,0.2,1.7,1.8,18.5
2097,2096,Jovan Mooring\jovan-mooring-1,SR,2017-18,G,Nevada-Las Vegas,MWC,33,1077,32.6,4.1,11,2.2,4.8,1.9,6.1,3.7,4.6,0.3,2.8,3,3.3,1.2,0.1,1.9,2.3,13.8
2098,2097,Nijal Pearson\nijal-pearson-1,SO,2017-18,G,Texas State,Sun Belt,33,1077,32.6,5.2,13.2,3.5,7.9,1.8,5.3,3,4.3,2,3.9,6,2.4,1.3,0.4,2.4,2.3,15.2
1783,1782,Devon Hall\devon-hall-1,SR,2017-18,G,Virginia,ACC,34,1091,32.1,3.9,8.6,2.2,4.7,1.7,3.9,2.2,2.5,0.4,3.9,4.2,3.1,0.9,0.1,1,1.4,11.7
475,474,MaCio Teague\macio-teague-1,SO,2017-18,G,North Carolina-Asheville,Big South,34,1200,35.3,5.3,12.7,2.5,6,2.9,6.7,3.2,3.7,0.5,3.9,4.4,2.5,1.6,0.1,2.1,1.7,16.7
1764,1763,B.J. Tyson\bj-tyson-1,SR,2017-18,G,East Carolina,AAC,30,1093,36.4,5.4,13.1,4,8.3,1.4,4.8,2.7,3.3,0.8,3.5,4.3,2.7,0.8,0.2,1.9,2,14.9
